quote_date,contracts,strikes,expirations,open_interest,eligible_rows
2013-01-02,172,75,6,4008767.0,172
2013-01-03,172,90,6,4202221.0,172
2013-01-04,171,90,6,3769272.0,171
2013-01-07,171,90,6,3951145.0,171
2013-01-08,171,90,6,3824650.0,171
2013-01-09,171,90,6,3938207.0,171
2013-01-10,171,90,6,4013876.0,171
2013-01-11,171,90,6,3863803.0,171
2013-01-14,171,90,6,3784294.0,171
2013-01-15,171,90,6,3879908.0,171
2013-01-16,171,90,6,3710521.0,171
2013-01-17,171,90,6,3822247.0,171
2013-01-18,171,90,6,3621136.0,171
2013-01-21,171,90,6,3933816.0,171
2013-01-22,170,90,6,3715238.0,170
2013-01-23,171,90,6,3685919.0,171
2013-01-24,171,90,6,3731051.0,171
2013-01-25,171,90,6,4029386.0,171
2013-01-28,172,90,6,3890915.0,172
2013-01-29,172,90,6,3917534.0,172
2013-01-30,172,90,6,3752088.0,172
2013-01-31,173,90,6,3907636.0,173
2013-02-01,172,90,6,4006156.0,172
2013-02-04,172,90,6,3665080.0,172
2013-02-05,172,90,6,3827360.0,172
2013-02-06,172,90,6,4017538.0,172
2013-02-07,172,90,6,4069323.0,172
2013-02-08,172,90,6,3969232.0,172
2013-02-11,172,90,6,3531311.0,172
2013-02-12,172,90,6,4113226.0,172
2013-02-13,172,90,6,3986441.0,172
2013-02-14,173,90,6,3827943.0,173
2013-02-15,173,90,6,3965679.0,173
2013-02-18,172,90,6,4053995.0,172
2013-02-19,172,90,6,3580926.0,172
2013-02-20,172,90,6,3833711.0,172
2013-02-21,172,90,6,3686437.0,172
2013-02-22,172,90,6,3516752.0,172
2013-02-25,172,90,6,3681112.0,172
2013-02-26,172,90,6,4025019.0,172
2013-02-27,171,90,6,4029063.0,171
2013-02-28,172,90,6,3689527.0,172
2013-03-01,171,90,6,4115861.0,171
2013-03-04,171,90,6,3716051.0,171
2013-03-05,171,90,6,4038904.0,171
2013-03-06,171,90,6,3788691.0,171
2013-03-07,171,90,6,3845317.0,171
2013-03-08,170,90,6,3832056.0,170
2013-03-11,170,90,6,3729801.0,170
2013-03-12,170,90,6,4000878.0,170
2013-03-13,170,90,6,3787918.0,170
2013-03-14,170,90,6,3853287.0,170
2013-03-15,170,90,6,3817254.0,170
2013-03-18,171,90,6,3741810.0,171
2013-03-19,170,90,6,3771702.0,170
2013-03-20,171,90,6,3569460.0,171
2013-03-21,172,90,6,3781854.0,172
2013-03-22,172,90,6,3643854.0,172
2013-03-25,172,90,6,3953383.0,172
2013-03-26,172,90,6,3776410.0,172
2013-03-27,172,90,6,3988754.0,172
2013-03-28,172,90,6,3939742.0,172
2013-03-29,171,90,6,3828938.0,171
2013-04-01,171,90,6,4059098.0,171
2013-04-02,171,90,6,3680804.0,171
2013-04-03,170,90,6,3899789.0,170
2013-04-04,170,90,6,4363090.0,170
2013-04-05,171,90,6,3765807.0,171
2013-04-08,171,90,6,3686288.0,171
2013-04-09,172,90,6,4035295.0,172
2013-04-10,172,90,6,4021570.0,172
2013-04-11,172,90,6,4046104.0,172
2013-04-12,174,90,6,4126007.0,174
2013-04-15,173,90,6,3890982.0,173
2013-04-16,172,90,6,3975128.0,172
2013-04-17,172,90,6,3744898.0,172
2013-04-18,172,90,6,3875601.0,172
2013-04-19,172,90,6,3839956.0,172
2013-04-22,173,90,6,4139232.0,173
2013-04-23,173,90,6,3750716.0,173
2013-04-24,174,90,6,3828510.0,174
2013-04-25,174,90,6,4012294.0,174
2013-04-26,174,90,6,3727248.0,174
2013-04-29,174,90,6,4091684.0,174
2013-04-30,174,90,6,3850516.0,174
2013-05-01,174,90,6,3847086.0,174
2013-05-02,175,90,6,3812123.0,175
2013-05-03,174,90,6,4132832.0,174
2013-05-06,173,90,6,3719999.0,173
2013-05-07,173,90,6,3931860.0,173
2013-05-08,174,90,6,3806563.0,174
2013-05-09,174,90,6,3975795.0,174
2013-05-10,173,90,6,3783037.0,173
2013-05-13,172,90,6,3967849.0,172
2013-05-14,173,90,6,4249897.0,173
2013-05-15,173,90,6,3719595.0,173
2013-05-16,173,90,6,4014051.0,173
2013-05-17,174,90,6,3993108.0,174
2013-05-20,174,90,6,3931229.0,174
2013-05-21,173,90,6,3898764.0,173
2013-05-22,173,90,6,4146000.0,173
2013-05-23,173,90,6,4281091.0,173
2013-05-24,174,90,6,3669172.0,174
2013-05-27,174,90,6,3906350.0,174
2013-05-28,172,90,6,3613400.0,172
2013-05-29,172,90,6,3874748.0,172
2013-05-30,172,90,6,3812312.0,172
2013-05-31,172,90,6,4026511.0,172
2013-06-03,172,90,6,3951024.0,172
2013-06-04,171,90,6,3879635.0,171
2013-06-05,172,90,6,3808081.0,172
2013-06-06,171,90,6,3640282.0,171
2013-06-07,172,90,6,3864163.0,172
2013-06-10,172,90,6,3695788.0,172
2013-06-11,172,90,6,3835692.0,172
2013-06-12,172,90,6,3905876.0,172
2013-06-13,172,90,6,3798091.0,172
2013-06-14,171,90,6,3745938.0,171
2013-06-17,172,90,6,3929855.0,172
2013-06-18,172,90,6,3817964.0,172
2013-06-19,172,90,6,3794223.0,172
2013-06-20,173,90,6,3822660.0,173
2013-06-21,173,90,6,3878615.0,173
2013-06-24,172,90,6,3977636.0,172
2013-06-25,172,90,6,4202655.0,172
2013-06-26,172,90,6,3839863.0,172
2013-06-27,172,90,6,3930417.0,172
2013-06-28,172,90,6,4056211.0,172
