maturity_days,moneyness,vega_exposure
30,0.8,4355.458040705388
30,0.85,6806.366008928718
30,0.9,9362.720528810138
30,0.95,11336.894800177124
30,1.0,12083.464453058692
30,1.05,11336.894800177124
30,1.1,9362.720528810132
30,1.15,6806.366008928722
30,1.2,4355.458040705388
60,0.8,6159.5478315125065
60,0.85,9625.655120302228
60,0.9,13240.886352552296
60,0.95,16032.790381607507
60,1.0,17088.599309968795
60,1.05,16032.790381607507
60,1.1,13240.886352552288
60,1.15,9625.655120302235
60,1.2,6159.5478315125065
90,0.8,7543.874616736128
90,0.85,11788.97174237434
90,0.9,16216.707652967305
90,0.95,19636.077793970195
90,1.0,20929.17436415013
90,1.05,19636.077793970195
90,1.1,16216.707652967296
90,1.15,11788.971742374351
90,1.2,7543.874616736128
180,0.8,10668.649795830366
180,0.85,16672.123724498968
180,0.9,22933.887899865924
180,0.95,27769.60752804581
180,1.0,29598.322235052412
180,1.05,27769.60752804581
180,1.1,22933.88789986591
180,1.15,16672.123724498982
180,1.2,10668.649795830366
